time_bin,detectorID,density_attack,density_base,LOS_attack,LOS_base,distance
2100.0,E0_1400m,35.4698536,35.5342272,E,E,1400
2100.0,E0_1500m,35.566414,35.679067800000006,E,E,1500
2100.0,E0_1600m,35.727348,35.807815,E,E,1600
2100.0,E0_1700m,35.807815,35.9526556,E,E,1700
2100.0,E0_1800m,35.8239084,35.9204688,E,E,1800
2100.0,E0_1900m,35.8721886,35.9526556,E,E,1900
2100.0,E0_2000m,35.9365622,36.017029199999996,E,E,2000
2100.0,E0_2100m,35.8560952,36.017029199999996,E,E,2100
2100.0,E0_2200m,35.8239084,35.9365622,E,E,2200
2100.0,E0_2300m,36.0331226,36.0653094,E,E,2300
2100.0,E0_2400m,36.2745236,36.21015,E,E,2400
2100.0,E0_2500m,36.5481114,36.3067104,E,E,2500
2100.0,E0_2600m,36.9826332,36.4676444,E,E,2600
2100.0,E0_2700m,37.6746494,36.5802982,E,E,2700
2100.0,E0_2800m,38.704627,36.692952,E,E,2800
2100.0,E0_2900m,40.2495934,36.692952,E,E,2900
2100.0,E0_3000m,41.6497192,36.676858599999996,E,E,3000
2100.0,E0_3100m,41.4726918,36.692952,E,E,3100
2100.0,E0_3200m,41.3278512,36.7573256,E,E,3200
2100.0,E0_3300m,41.408318200000004,36.8056058,E,E,3300
2100.0,E0_3400m,41.3761314,36.853885999999996,E,E,3400
2100.0,E0_3500m,41.4887852,36.934353,E,E,3500
2100.0,E0_3600m,41.520972,37.0309134,E,E,3600
2100.0,E0_3700m,41.569252199999994,37.2079408,E,E,3700
2100.0,E0_3800m,41.2956644,37.3688748,E,E,3800
2100.0,E0_3900m,40.1852198,37.3688748,E,E,3900
2100.0,E0_4000m,36.0974962,37.3849682,E,E,4000
2100.0,E0_4100m,34.8100242,37.3849682,D,E,4100
2100.0,E0_4200m,34.6329968,37.3527814,D,E,4200
2100.0,E0_4300m,34.8100242,37.2884078,D,E,4300
2100.0,E0_4400m,35.003144999999996,37.2723144,E,E,4400
2100.0,E0_4500m,35.131892199999996,37.3045012,E,E,4500
2100.0,E0_4600m,35.3571998,37.3045012,E,E,4600
2100.0,E0_4700m,35.325013,37.256221,E,E,4700
2100.0,E0_4800m,35.3411064,37.095287,E,E,4800
2100.0,E0_4900m,35.3089196,36.9987266,E,E,4900
2400.0,E0_0m,36.1457764,34.439876,E,D,0
2400.0,E0_100m,35.840001799999996,35.0353318,E,E,100
2400.0,E0_200m,35.711254600000004,35.1157988,E,E,200
2400.0,E0_300m,35.727348,35.389386599999995,E,E,300
2400.0,E0_400m,35.8560952,35.5181338,E,E,400
2400.0,E0_500m,36.017029199999996,35.807815,E,E,500
2400.0,E0_600m,36.1779632,35.9526556,E,E,600
2400.0,E0_700m,36.3549906,36.2262434,E,E,700
2400.0,E0_800m,36.4676444,36.3388972,E,E,800
