scenario,interval_begin,link,pos,interval_flow,interval_harmonicMeanSpeed,interval_id_combined
attack,1800.0,E0,2500,3946.0,24.718166666666665,E0_2500m
attack,1800.0,E0,2600,3942.0,24.547666666666668,E0_2600m
attack,1800.0,E0,2700,3934.4,24.301000000000002,E0_2700m
attack,1800.0,E0,2800,3933.2,23.90633333333333,E0_2800m
attack,1800.0,E0,2900,3938.0,23.258666666666663,E0_2900m
attack,1800.0,E0,3000,3946.3999999999996,22.158833333333334,E0_3000m
attack,1800.0,E0,3100,3945.6000000000004,22.016499999999997,E0_3100m
attack,1800.0,E0,3200,3939.6000000000004,22.094166666666666,E0_3200m
attack,1800.0,E0,3300,3942.8,22.104333333333336,E0_3300m
attack,1800.0,E0,3400,3942.0,22.10033333333333,E0_3400m
attack,1800.0,E0,3500,3939.2,22.083000000000002,E0_3500m
attack,1800.0,E0,3600,3946.4,22.087333333333333,E0_3600m
attack,1800.0,E0,3700,3953.2,22.10216666666667,E0_3700m
attack,1800.0,E0,3800,3964.3999999999996,22.110666666666667,E0_3800m
attack,1800.0,E0,3900,3964.8,22.152333333333328,E0_3900m
attack,1800.0,E0,4000,3966.8,23.010999999999996,E0_4000m
attack,1800.0,E0,4100,3964.0,25.59883333333333,E0_4100m
attack,1800.0,E0,4200,3952.8,25.78583333333333,E0_4200m
attack,1800.0,E0,4300,3952.0,25.727833333333336,E0_4300m
attack,1800.0,E0,4400,3960.7999999999997,25.646833333333333,E0_4400m
attack,1800.0,E0,4500,3957.2,25.551166666666667,E0_4500m
attack,1800.0,E0,4600,3960.0,25.460666666666665,E0_4600m
attack,1800.0,E0,4700,3956.8,25.401166666666665,E0_4700m
attack,1800.0,E0,4800,3954.0,25.369999999999997,E0_4800m
attack,1800.0,E0,4900,3952.7999999999997,25.343166666666665,E0_4900m
attack,1800.0,E0,5000,3955.2,25.310499999999998,E0_5000m
attack,2100.0,E0,0,0.0,-1.0,E0_0m
attack,2100.0,E0,100,4057.6,26.5515,E0_100m
attack,2100.0,E0,200,4056.0,26.78533333333333,E0_200m
attack,2100.0,E0,300,4053.6000000000004,26.75966666666666,E0_300m
attack,2100.0,E0,400,4053.2,26.671499999999995,E0_400m
attack,2100.0,E0,500,4049.6,26.593500000000002,E0_500m
attack,2100.0,E0,600,4048.8,26.496666666666663,E0_600m
attack,2100.0,E0,700,4044.7999999999997,26.40433333333333,E0_700m
attack,2100.0,E0,800,4042.4,26.30233333333333,E0_800m
attack,2100.0,E0,900,4036.4,26.215000000000003,E0_900m
attack,2100.0,E0,1000,4032.0,26.144499999999997,E0_1000m
attack,2100.0,E0,1100,4023.6,26.059,E0_1100m
attack,2100.0,E0,1200,4028.8,25.986833333333333,E0_1200m
attack,2100.0,E0,1300,4026.8,25.904333333333334,E0_1300m
attack,2100.0,E0,1400,4034.0,25.82,E0_1400m
attack,2100.0,E0,1500,4033.6,25.749666666666666,E0_1500m
attack,2100.0,E0,1600,4045.6,25.67583333333333,E0_1600m
attack,2100.0,E0,1700,4046.0,25.5975,E0_1700m
attack,2100.0,E0,1800,4054.0,25.54216666666667,E0_1800m
attack,2100.0,E0,1900,4051.2,25.470666666666666,E0_1900m
attack,2100.0,E0,2000,4056.0,25.411499999999997,E0_2000m
attack,2100.0,E0,2100,4061.6000000000004,25.34683333333333,E0_2100m
