interval_begin,interval_id_combined,link,pos,SPR,FR,interval_harmonicMeanSpeed_attack,interval_harmonicMeanSpeed_base,interval_flow_attack,interval_flow_base
1200.0,E0_2600m,E0,2600,0.99,1.0,24.91,25.24,3976.4,3980.4
1200.0,E0_2700m,E0,2700,0.98,1.0,24.6,25.18,3986.4,3989.6
1200.0,E0_2800m,E0,2800,0.96,1.0,24.13,25.12,3994.8,4000.4
1200.0,E0_2900m,E0,2900,0.93,1.0,23.43,25.07,4005.6,4013.2
1200.0,E0_3000m,E0,3000,0.9,1.0,22.42,25.02,4013.2,4022.0
1200.0,E0_3100m,E0,3100,0.89,1.0,22.27,24.98,4018.4,4025.6
1200.0,E0_3200m,E0,3200,0.9,1.0,22.33,24.95,4018.8,4030.8
1200.0,E0_3300m,E0,3300,0.9,1.0,22.32,24.92,4022.0,4034.4
1200.0,E0_3400m,E0,3400,0.9,1.0,22.31,24.9,4023.6,4039.6
1200.0,E0_3500m,E0,3500,0.9,1.0,22.29,24.9,4026.4,4041.6
1200.0,E0_3600m,E0,3600,0.89,1.0,22.27,24.89,4026.4,4036.8
1200.0,E0_3700m,E0,3700,0.9,0.99,22.26,24.87,4020.0,4042.0
1200.0,E0_3800m,E0,3800,0.9,1.0,22.3,24.83,4017.6,4034.4
1200.0,E0_3900m,E0,3900,0.9,1.0,22.44,24.81,4014.0,4030.4
1200.0,E0_4000m,E0,4000,0.96,1.0,23.68,24.79,4014.4,4028.8
1200.0,E0_4100m,E0,4100,1.05,1.0,25.92,24.76,4019.6,4025.6
1200.0,E0_4200m,E0,4200,1.05,1.0,26.07,24.74,4020.0,4029.2
1200.0,E0_4300m,E0,4300,1.05,1.0,26.0,24.73,4022.4,4029.6
1200.0,E0_4400m,E0,4400,1.05,1.0,25.9,24.71,4027.6,4024.4
1200.0,E0_4500m,E0,4500,1.04,1.0,25.81,24.72,4027.2,4026.4
1200.0,E0_4600m,E0,4600,1.04,1.0,25.72,24.73,4026.0,4030.4
1200.0,E0_4700m,E0,4700,1.04,1.0,25.66,24.77,4024.4,4029.6
1200.0,E0_4800m,E0,4800,1.03,1.0,25.61,24.83,4022.0,4028.0
1200.0,E0_4900m,E0,4900,1.03,1.0,25.57,24.88,4024.0,4025.2
1200.0,E0_5000m,E0,5000,1.02,1.0,25.54,24.94,4021.6,4030.0
1500.0,E0_0m,E0,0,-1.0,1.0,-1.0,-1.0,0.0,0.0
1500.0,E0_100m,E0,100,0.99,1.0,26.66,26.86,4019.6,4019.2
1500.0,E0_200m,E0,200,1.0,1.0,26.84,26.94,4022.8,4021.6
1500.0,E0_300m,E0,300,1.0,1.0,26.77,26.84,4024.8,4023.6
1500.0,E0_400m,E0,400,1.0,1.0,26.66,26.7,4026.8,4023.2
1500.0,E0_500m,E0,500,1.0,1.0,26.52,26.55,4028.0,4027.6
1500.0,E0_600m,E0,600,1.0,1.0,26.4,26.42,4029.6,4029.6
1500.0,E0_700m,E0,700,1.0,1.0,26.27,26.29,4029.2,4031.6
1500.0,E0_800m,E0,800,1.0,1.0,26.15,26.17,4028.4,4029.2
1500.0,E0_900m,E0,900,1.0,1.0,26.04,26.06,4024.8,4026.0
1500.0,E0_1000m,E0,1000,1.0,1.0,25.93,25.95,4032.4,4034.0
1500.0,E0_1100m,E0,1100,1.0,1.0,25.83,25.85,4037.6,4040.0
1500.0,E0_1200m,E0,1200,1.0,1.0,25.74,25.76,4038.0,4040.4
1500.0,E0_1300m,E0,1300,1.0,1.0,25.65,25.69,4034.8,4034.8
1500.0,E0_1400m,E0,1400,1.0,1.0,25.57,25.63,4038.4,4039.6
1500.0,E0_1500m,E0,1500,1.0,1.0,25.52,25.57,4035.2,4035.6
1500.0,E0_1600m,E0,1600,1.0,1.0,25.48,25.52,4028.8,4028.0
1500.0,E0_1700m,E0,1700,1.0,1.0,25.44,25.49,4028.0,4025.6
1500.0,E0_1800m,E0,1800,1.0,1.0,25.41,25.47,4021.6,4018.0
1500.0,E0_1900m,E0,1900,1.0,1.0,25.36,25.43,4019.6,4012.4
1500.0,E0_2000m,E0,2000,1.0,1.0,25.34,25.39,4018.4,4012.8
1500.0,E0_2100m,E0,2100,1.0,1.0,25.3,25.36,4017.2,4014.4
1500.0,E0_2200m,E0,2200,1.0,1.0,25.26,25.34,4011.6,4009.2
1500.0,E0_2300m,E0,2300,1.0,1.0,25.22,25.32,4004.8,4002.0
1500.0,E0_2400m,E0,2400,0.99,1.0,25.16,25.29,3999.2,3998.4
1500.0,E0_2500m,E0,2500,0.99,1.0,25.05,25.25,4000.4,4000.4
1500.0,E0_2600m,E0,2600,0.99,1.0,24.88,25.21,4000.4,4000.8
1500.0,E0_2700m,E0,2700,0.98,1.0,24.6,25.2,4001.6,4000.0
1500.0,E0_2800m,E0,2800,0.96,1.0,24.15,25.18,3998.8,4000.8
1500.0,E0_2900m,E0,2900,0.93,1.0,23.48,25.17,3994.8,3995.6
1500.0,E0_3000m,E0,3000,0.89,1.0,22.44,25.14,3993.2,3994.0
1500.0,E0_3100m,E0,3100,0.89,1.0,22.26,25.12,3999.2,3994.8
1500.0,E0_3200m,E0,3200,0.89,1.0,22.3,25.1,4007.2,3992.8
1500.0,E0_3300m,E0,3300,0.89,1.0,22.3,25.08,4002.0,3990.0
1500.0,E0_3400m,E0,3400,0.89,1.0,22.28,25.06,3998.4,3984.8
1500.0,E0_3500m,E0,3500,0.89,1.0,22.28,25.05,4002.8,3987.2
1500.0,E0_3600m,E0,3600,0.89,1.0,22.29,25.02,4008.0,3992.8
1500.0,E0_3700m,E0,3700,0.89,1.0,22.3,25.0,4008.8,3992.0
1500.0,E0_3800m,E0,3800,0.89,1.0,22.32,25.0,4004.4,3993.6
1500.0,E0_3900m,E0,3900,0.9,1.0,22.47,24.99,4000.0,3988.4
1500.0,E0_4000m,E0,4000,0.95,1.0,23.81,24.98,3993.2,3980.0
1500.0,E0_4100m,E0,4100,1.05,1.0,26.29,24.97,3980.8,3975.2
1500.0,E0_4200m,E0,4200,1.06,1.0,26.51,24.97,3973.2,3961.6
1500.0,E0_4300m,E0,4300,1.06,1.0,26.49,24.96,3963.6,3960.0
1500.0,E0_4400m,E0,4400,1.06,1.0,26.42,24.97,3962.0,3967.6
1500.0,E0_4500m,E0,4500,1.06,1.0,26.34,24.96,3957.2,3969.6
1500.0,E0_4600m,E0,4600,1.05,1.0,26.27,24.97,3958.0,3968.0
1500.0,E0_4700m,E0,4700,1.05,1.0,26.19,24.99,3960.8,3970.0
1500.0,E0_4800m,E0,4800,1.04,1.0,26.13,25.02,3968.0,3966.0
1500.0,E0_4900m,E0,4900,1.04,1.0,26.07,25.05,3966.4,3971.2
1500.0,E0_5000m,E0,5000,1.04,1.0,26.03,25.09,3968.8,3976.8
1800.0,E0_0m,E0,0,-1.0,1.0,-1.0,-1.0,0.0,0.0
1800.0,E0_100m,E0,100,1.0,1.0,26.79,26.91,3924.4,3925.2
1800.0,E0_200m,E0,200,1.0,1.0,26.96,27.03,3923.2,3925.2
1800.0,E0_300m,E0,300,1.0,1.0,26.88,26.92,3923.6,3924.0
1800.0,E0_400m,E0,400,1.0,1.0,26.79,26.79,3922.4,3922.4
1800.0,E0_500m,E0,500,1.0,1.0,26.69,26.68,3923.6,3924.0
