scenario,interval_begin,interval_id,interval_flow,interval_harmonicMeanSpeed
attack,900.0,E0_1_4200m,2164.4,26.826999999999995
attack,900.0,E0_1_4300m,2162.4,26.814333333333334
attack,900.0,E0_1_4400m,2158.0,26.785999999999998
attack,900.0,E0_1_4500m,2161.2,26.753333333333334
attack,900.0,E0_1_4600m,2159.2,26.72233333333333
attack,900.0,E0_1_4700m,2159.6,26.69033333333334
attack,900.0,E0_1_4800m,2160.0,26.66533333333333
attack,900.0,E0_1_4900m,2166.0,26.665
attack,900.0,E0_1_5000m,2168.0,26.673666666666666
attack,900.0,E0_1_500m,2180.0,27.512666666666668
attack,900.0,E0_1_600m,2180.4,27.36733333333333
attack,900.0,E0_1_700m,2183.6,27.234000000000005
attack,900.0,E0_1_800m,2191.6,27.102
attack,900.0,E0_1_900m,2198.4,26.978999999999996
attack,1200.0,E0_0_0m,0.0,-1.0
attack,1200.0,E0_0_1000m,1764.8,25.40666666666667
attack,1200.0,E0_0_100m,1803.6,25.992666666666665
attack,1200.0,E0_0_1100m,1765.2,25.33333333333333
attack,1200.0,E0_0_1200m,1761.6,25.276333333333334
attack,1200.0,E0_0_1300m,1761.6,25.227666666666664
attack,1200.0,E0_0_1400m,1758.8,25.148000000000003
attack,1200.0,E0_0_1500m,1752.0,25.071000000000005
attack,1200.0,E0_0_1600m,1752.8,25.005333333333333
attack,1200.0,E0_0_1700m,1756.8,24.942000000000004
attack,1200.0,E0_0_1800m,1757.6,24.884333333333338
attack,1200.0,E0_0_1900m,1759.2,24.823666666666668
attack,1200.0,E0_0_2000m,1755.2,24.766000000000002
attack,1200.0,E0_0_200m,1818.4,26.040000000000003
attack,1200.0,E0_0_2100m,1756.4,24.677
attack,1200.0,E0_0_2200m,1760.8,24.599666666666664
attack,1200.0,E0_0_2300m,1769.6,24.528999999999996
attack,1200.0,E0_0_2400m,1772.4,24.416666666666668
attack,1200.0,E0_0_2500m,1778.4,24.29233333333334
attack,1200.0,E0_0_2600m,1775.6,24.113
attack,1200.0,E0_0_2700m,1778.4,23.836333333333336
attack,1200.0,E0_0_2800m,1785.6,23.43133333333333
attack,1200.0,E0_0_2900m,1794.8,22.809666666666672
attack,1200.0,E0_0_3000m,1800.4,21.870000000000005
attack,1200.0,E0_0_300m,1802.4,25.996
attack,1200.0,E0_0_3100m,1830.8,21.78366666666666
attack,1200.0,E0_0_3200m,1876.8,21.906666666666663
attack,1200.0,E0_0_3300m,1882.0,21.93866666666667
attack,1200.0,E0_0_3400m,1883.2,21.967
attack,1200.0,E0_0_3500m,1888.8,21.977666666666668
attack,1200.0,E0_0_3600m,1894.0,21.997
attack,1200.0,E0_0_3700m,1891.2,22.016000000000002
attack,1200.0,E0_0_3800m,1888.8,22.06433333333333
attack,1200.0,E0_0_3900m,1881.6,22.124666666666663
attack,1200.0,E0_0_4000m,1894.8,23.17166666666667
attack,1200.0,E0_0_400m,1792.8,25.903999999999996
attack,1200.0,E0_0_4100m,1859.2,25.200333333333337
attack,1200.0,E0_0_4200m,1860.0,25.233666666666668
attack,1200.0,E0_0_4300m,1860.4,25.1
attack,1200.0,E0_0_4400m,1863.2,24.974
attack,1200.0,E0_0_4500m,1866.4,24.886333333333333
attack,1200.0,E0_0_4600m,1856.8,24.785666666666668
attack,1200.0,E0_0_4700m,1855.6,24.723666666666663
attack,1200.0,E0_0_4800m,1853.6,24.664666666666662
attack,1200.0,E0_0_4900m,1849.6,24.62633333333333
attack,1200.0,E0_0_5000m,1846.8,24.587666666666667
attack,1200.0,E0_0_500m,1788.0,25.80633333333333
attack,1200.0,E0_0_600m,1783.6,25.718333333333337
attack,1200.0,E0_0_700m,1774.8,25.646666666666665
attack,1200.0,E0_0_800m,1773.6,25.56666666666667
